,male,female
syphilis,63,14
covid-19,7648,3253
40733004.0,14496,3765
tuberculoses,7686,9210
colon cancer,695,290
363346000.0,10011,9539
56265001.0,538,501
371632003.0,1001,1020
63102001.0,64,51
hiv/aids,2961,2909
49601007.0,154,130
50829006.0,160,133
52448006.0,513,543
61462000.0,386,401
21134002.0,738,1220
86044005.0,4279,606
57182000.0,1,1
prostate cancer,1299,127
ovarian cancer,80,270
399068003.0,1279,125
49049000.0,441,269
bacterial pneumonia,345,352
type 2 diabetes,183,203
essential hypertension,475,677
40930008.0,6,21
44054006.0,104,103
73211009.0,1256,1649
233604007.0,345,352
428281000.0,15,8
22298006.0,460,209
lupus,605,261
26929004.0,569,388
396275006.0,169,95
14669001.0,9,7
42399005.0,108,52
74732009.0,98,109
3723001.0,87,120
698247007.0,71,103
multiple sclerosis,174,832
24700007.0,174,832
80690008.0,18,45
40095003.0,7,6
200936003.0,101,72
10743008.0,408,644
53741008.0,70,57
6142004.0,737,357
gastric cancer,99,29
235856003.0,42,36
69322001.0,26,23
278040002.0,3,10
237602007.0,31,38
37340000.0,28,46
hepatitis b,31,49
32398004.0,105,39
195967001.0,199,189
13791008.0,39,44
193462001.0,58,52
13746004.0,46,66
386806002.0,17,20
161891005.0,4,8
162076009.0,12,4
70076002.0,3,4
46635009.0,9,24
15188001.0,17,12
399269003.0,1,1
193000002.0,6,14
3545003.0,7,5
44695005.0,59,35
193570009.0,19,17
88092000.0,3,5
rheumatoid arthritis,23,46
87486003.0,33,38
32798002.0,1,1
64226004.0,6,29
202882003.0,2,0
429040005.0,19,36
161156004.0,12,6
56925008.0,2,1
43116000.0,4,10
386807006.0,35,13
386033004.0,17,14
69896004.0,21,38
428061005.0,42,23
59927004.0,2,1
36971009.0,5,2
56317004.0,5,5
multiple myeloma,12,7
131148009.0,1,0
ulcerative colitis,3,23
64766004.0,3,23
55300003.0,2,2
307496006.0,4,4
14304000.0,6,8
271596009.0,0,7
60862001.0,9,6
128609009.0,4,1
370143000.0,11,26
193093009.0,6,5
76376003.0,0,1
crohn’s disease,0,1
129103003.0,7,66
sarcoidoses,14,10
48661000.0,6,26
23502006.0,4,4
129565002.0,11,4
75694006.0,8,5
24693007.0,2,6
397540003.0,3,16
371405004.0,17,0
302226006.0,4,4
84017003.0,3,0
endocarditis,1,5
3716002.0,1,3
7973008.0,1,0
62315008.0,4,0
399122003.0,2,0
chagas disease,2,0
80967001.0,8,9
68172002.0,36,10
takotsubo cardiomyopathy,1,1
90708001.0,4,4
443892003.0,3,0
39621005.0,0,3
34840004.0,6,6
32914008.0,0,1
4308002.0,0,0
6471006.0,0,0
8357008.0,0,0
9126005.0,0,0
9829001.0,0,0
11072008.0,0,0
11381005.0,0,0
11654001.0,0,0
18193002.0,0,0
18718003.0,0,0
22193007.0,0,0
23919004.0,0,0
25458004.0,0,0
26544005.0,0,0
26889001.0,0,0
29384001.0,0,0
30811009.0,0,0
30989003.0,0,0
31384009.0,0,0
33308003.0,0,0
35489007.0,0,0
38936003.0,0,0
39400004.0,0,0
41982003.0,0,0
42345000.0,0,0
43364001.0,0,0
45352006.0,0,0
47004009.0,0,0
52702003.0,0,0
54150009.0,0,0
57406009.0,0,0
57676002.0,0,0
60032008.0,0,0
61599003.0,0,0
66383009.0,0,0
67362008.0,0,0
68449006.0,0,0
68566005.0,0,0
68962001.0,0,0
73442001.0,0,0
77547008.0,0,0
81308009.0,0,0
81498004.0,0,0
82639001.0,0,0
82991003.0,0,0
83901003.0,0,0
85828009.0,0,0
95891005.0,0,0
102480002.0,0,0
118940003.0,0,0
128601007.0,0,0
134407002.0,0,0
162315007.0,0,0
186748004.0,0,0
191736004.0,0,0
202852009.0,0,0
213257006.0,0,0
214264003.0,0,0
236620008.0,0,0
238539001.0,0,0
239873007.0,0,0
239965002.0,0,0
240131006.0,0,0
247592009.0,0,0
250084002.0,0,0
267045008.0,0,0
267953003.0,0,0
271587009.0,0,0
271767006.0,0,0
271832001.0,0,0
280816001.0,0,0
281794004.0,0,0
308925008.0,0,0
314983004.0,0,0
315642008.0,0,0
363058009.0,0,0
363406005.0,0,0
367391008.0,0,0
371081002.0,0,0
397803000.0,0,0
397825006.0,0,0
402234004.0,0,0
409622000.0,0,0
423849004.0,0,0
425772008.0,0,0
429340002.0,0,0
429360005.0,0,0
440630006.0,0,0
443694000.0,0,0
444312002.0,0,0
448589005.0,0,0
609599003.0,0,0
609600000.0,0,0
